,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,dump_reason_new,dump_reason_old,dump_reason_break,dump_reason_theft,dump_reason_slow,dump_reason_lag,device_to_rep_Desktop,device_to_rep_Featurephone,device_to_rep_Laptop,device_to_rep_Smartphone,device_to_rep_Tablet,self_try_No,self_try_Failed,self_try_Success,slt_lack_tu,slt_lack_lang,slt_lack_notint,slt_lack_fear,slt_lack_parts,slt_lack_repairer,rprd_usage_chlng_No,rprd_usage_chlng_reluc,rprd_usage_chlng_dur,rprd_usage_chlng_fault,rprd_usage_chlng_econ,rprd_usage_chlng_theft,rpr_missing_trait_behave,rpr_missing_trait_ineff,rpr_missing_trait_harm,rpr_missing_trait_hard,rpr_missing_trait_wage,rpr_missing_trait_trust,rpr_missing_trait_gender,bad_rep_exp,dev_tknto_rec_Y,dev_rec_chlng_fair_price,dev_rec_chlng_usable,dev_rec_chlng_datasec,dev_rec_chlng_env_poll,dev_rec_chlng_hard_find,will_dev_rec
39,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<4 yr,6,5,N,N,N,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NC,0,0,0,1,0,0,N
40,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<2 yr,1,1,N,N,N,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,NC,0,1,0,0,0,0,NC
41,Chittagong,30-39,Woman,Masters,Lawyer  ,4-6,Smartphone,<2 yr,1,2,N,Y,Y,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,N,0,1,0,1,1,1,N
42,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<2 yr,1,2,Y,Y,N,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,NC,0,0,0,1,1,1,N
43,Dhaka,20-29,Woman,High School,Student,1-2,Smartphone,<1 yr,1,2,Y,N,Y,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,NC,0,0,0,0,0,0,NC
44,Dhaka,20-29,Man,Bachelors,Student,10-12,Featurephone,<6 mn,1,1,N,N,Y,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NC,0,0,0,0,0,0,NC
45,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<1 yr,1,5,Y,Y,Y,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,N,1,1,1,0,0,0,N
46,Dhaka,20-29,Woman,Bachelors,Student,3-4,Smartphone,<1 yr,1,1,Y,Y,Y,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,NC,0,0,0,0,0,0,N
47,Dhaka,20-29,Man,Masters,Teacher,6-8,Smartphone,<2 yr,1,1,Y,Y,Y,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,Y,1,1,0,1,1,0,Y
48,Dhaka,20-29,Man,Masters,Teacher,6-8,Smartphone,<2 yr,1,1,Y,Y,Y,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,Y,1,1,0,1,1,0,Y
49,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<1 yr,1,5,Y,Y,Y,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,N,1,1,0,0,0,0,N
50,Dhaka,1-19,Woman,Bachelors,Student,1-2,Smartphone,<4 yr,1,1,Y,Y,Y,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,N,0,0,0,1,0,0,N
51,Dhaka,20-29,Man,High School,Student,6-8,Featurephone,<4 yr,1,1,N,N,N,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,NC,0,1,1,0,0,0,N
52,Dhaka,20-29,Man,High School,Student,12-,Tablet,<4 yr,1,3,N,Y,Y,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,Y,1,0,1,0,0,0,N
53,Dhaka,20-29,Woman,High School,Student,6-8,Tablet,<2 yr,1,5,N,N,N,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,NC,1,0,1,0,1,0,NC
54,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<6 mn,1,5,Y,N,N,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,NC,0,1,1,0,1,1,NC
55,Dhaka,20-29,Man,Bachelors,Job,6-8,Laptop,<1 yr,1,5,N,N,N,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,NC,0,0,0,0,0,0,NC
56,Dhaka,20-29,Woman,High School,Student,1-2,Featurephone,>4 yr,1,5,Y,Y,Y,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,NC,1,1,0,1,1,0,N
57,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<2 yr,1,5,Y,Y,N,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,Y,1,1,0,1,0,0,N
58,Dhaka,30-39,Man,Bachelors,Job,4-6,Desktop,<1 yr,1,5,Y,Y,N,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,N,1,0,1,1,1,1,Y
59,Dhaka,20-29,Man,Bachelors,Teacher,4-6,Smartphone,<6 mn,1,2,Y,Y,N,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,Y,1,1,1,1,1,0,N
60,Chittagong,30-39,Man,Masters,Teacher,4-6,Smartphone,<6 mn,1,4,N,Y,Y,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,Y,1,0,1,0,1,0,N
61,Dhaka,30-39,Man,Bachelors,Technical Works,6-8,Smartphone,<6 mn,1,2,Y,N,Y,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,NC,1,0,0,1,1,0,N
62,Dhaka,1-19,Man,High School,Student,1-2,Smartphone,<6 mn,6,1,Y,Y,N,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,N,0,1,1,1,0,1,N
63,Dhaka,70+,Man,Bachelors,Retired,3-4,Smartphone,<1 yr,1,1,N,Y,N,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,Y,0,1,1,1,0,0,N
64,Dhaka,20-29,Man,High School,Student,8-10,Featurephone,<1 yr,1,1,N,Y,Y,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Y,0,0,1,0,0,0,N
65,Chittagong,30-39,Man,Bachelors,Business,3-4,Laptop,<2 yr,1,5,Y,Y,N,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NC,0,0,0,0,0,0,N
66,Dhaka,20-29,Man,Bachelors,Student,3-4,Tablet,<6 mn,1,1,N,Y,Y,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NC,1,1,0,0,0,0,Y
67,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<2 yr,1,5,N,Y,Y,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,Y,1,1,0,0,1,0,N
68,Dhaka,20-29,Man,Bachelors,Student,6-8,Tablet,<1 yr,3,4,N,N,Y,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,NC,0,1,0,0,0,0,Y
69,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<4 yr,1,5,N,Y,N,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,NC,0,1,0,0,1,0,N
70,Rongpur,30-39,Man,Masters,Job,6-8,Smartphone,<2 yr,3,4,N,Y,Y,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,Y,0,1,1,0,1,0,Y
71,Dhaka,20-29,Woman,High School,Student,3-4,Tablet,<2 yr,1,4,N,N,Y,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,NC,0,1,1,1,1,0,NC
72,Dhaka,20-29,Woman,High School,Student,4-6,Smartphone,<1 yr,3,5,Y,N,Y,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,N,0,0,0,0,0,0,NC
73,Dhaka,30-39,Man,Masters,Banker,12-,Featurephone,>4 yr,1,5,N,N,Y,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NC,1,1,0,0,0,0,NC
74,Dhaka,30-39,Man,Masters,Job,6-8,Smartphone,<2 yr,1,1,N,N,Y,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,NC,0,1,1,0,0,0,Y
75,Rongpur,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,3,5,N,N,N,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,NC,1,1,0,1,0,0,N
76,Chittagong,20-29,Man,Masters,Unemployed,4-6,Laptop,<2 yr,1,1,N,N,N,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,Y,1,1,0,1,0,0,N
77,Dhaka,30-39,Man,Masters,Job,3-4,Smartphone,<4 yr,1,1,N,N,N,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,NC,0,0,0,0,0,0,NC
78,Dhaka,20-29,Man,Bachelors,Student,4-6,Featurephone,<6 mn,1,1,N,N,N,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,NC,0,0,0,0,1,0,NC
79,Dhaka,30-39,Man,Masters,Job,8-10,Desktop,<1 yr,1,5,N,N,Y,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Y,0,1,0,0,1,0,N
