,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,dump_reason,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,normally_do,device_to_rep,self_try,self_try_chlng,rprd_usage_chlng,rpr_missing_trait,bad_rep_exp,dev_tknto_rec,dev_rec_chlng,will_dev_rec,prblm_not_recd
39,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<4 yr,4,6,5.0,N,N,N,1,Laptop,2,5,2,3,NC,Nothing,3,N,2
40,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<2 yr,3,1,1.0,N,N,N,4,Smartphone,"2, 3","1, 3, 6, 7","3, 4","2, 5, 6, 7",NC,Nothing,1,,"1, 2"
41,Chittagong,30-39,Woman,Masters,Lawyer  ,4-6,Smartphone,<2 yr,3,1,2.0,N,Y,Y,"1, 5","Smartphone, Laptop",1,5,3,"4, 6",N,Nothing,"1, 3, 4, 5, 6",N,"1, 2"
42,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<2 yr,3,1,2.0,Y,Y,N,1,"Smartphone, Desktop",3,"4, 5","3, 4","4, 6",NC,Nothing,"3, 4, 5",N,"1, 2"
43,Dhaka,20-29,Woman,High School,Student,1-2,Smartphone,<1 yr,4,1,2.0,Y,N,Y,1,Smartphone,2,2,"3, 6","3, 4",NC,Nothing,,,"1, 2"
44,Dhaka,20-29,Man,Bachelors,Student,10-12,Featurephone,<6 mn,3,1,1.0,NS,N,Y,2,Smartphone,1,4,2,,NC,Nothing,,,
45,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<1 yr,"2, 6",1,5.0,Y,Y,Y,"1, 4",Smartphone,2,"1, 3",4,"5, 6",N,Featurephone,"1, 2",N,"1, 2"
46,Dhaka,20-29,Woman,Bachelors,Student,3-4,Smartphone,<1 yr,1,1,1.0,Y,Y,Y,1,"Smartphone, Laptop",1,"3, 4, 5","2, 3, 4","3, 4, 5, 6",NC,Nothing,,N,2
47,Dhaka,20-29,Man,Masters,Teacher,6-8,Smartphone,<2 yr,3,1,1.0,Y,Y,Y,2,"Smartphone, Laptop",2,"5, 6","3, 4","1, 6",Y,Smartphone,"1, 3, 4",Y,2
48,Dhaka,20-29,Man,Masters,Teacher,6-8,Smartphone,<2 yr,3,1,1.0,Y,Y,Y,2,"Smartphone, Laptop",2,"5, 6","3, 4","1, 6",Y,Smartphone,"1, 3, 4",Y,2
49,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<1 yr,6,1,5.0,Y,Y,Y,1,"Smartphone, Laptop",2,"1, 4, 5","1, 2, 3, 4","1, 4, 5",N,Video games,1,N,"1, 2, 4"
50,Dhaka,1-19,Woman,Bachelors,Student,1-2,Smartphone,<4 yr,"2, 3, 6",1,1.0,Y,Y,Y,"1, 2","Smartphone, Laptop",1,"4, 5","2, 3, 4, 6","2, 3, 4, 7",N,Nothing,3,N,"1, 2"
